Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count
84,Morgan Stanley,BRM Trader - Vice President,Blockchain,35,Fintech
85,Morgan Stanley,Senior Registered Service Associate,trade,15,Fintech
86,Morgan Stanley,Receptionist,Non-FinTech,0,Nonfintech
87,Morgan Stanley,Client Service Associate,trade,21,Fintech
88,Morgan Stanley,Resident Manager,trade,24,Fintech
89,Morgan Stanley,IT Auditor - Wealth Management,Blockchain,33,Fintech
90,Morgan Stanley,Associate - MRM Quality Assurance,Blockchain,23,Fintech
91,Morgan Stanley,"Global Capital Markets, Roadshow Coordinator, Hong Kong",trade,22,Fintech
92,Morgan Stanley,"Investment Management Compliance Director/Vice President, Singapore",trade,53,Fintech
93,Morgan Stanley,"VP, CRM Product Management",trade,44,Fintech
94,Morgan Stanley,"VP, CRM Product Management",trade,44,Fintech
95,Morgan Stanley,BRM Desk Strategist,trade,16,Fintech
96,Morgan Stanley,Legal Entity Financial Reporting,trade,24,Fintech
97,Morgan Stanley,CRM Product Manager,trade,44,Fintech
98,Morgan Stanley,CRM Product Manager,trade,52,Fintech
99,Morgan Stanley,Lead Recruiter - Campus Diversity & University Relationship Management (Manager/Director),Non-FinTech,13,Nonfintech
100,Morgan Stanley,BRM Strategy & COO Group,trade,24,Fintech
101,Morgan Stanley,Registered Associate - Great Lakes,trade,20,Fintech
102,Morgan Stanley,SPG Commercial Desk Strategist / Generic,trade,26,Fintech
103,Morgan Stanley,Wealth Management Credit Complex Strategist,Non-FinTech,13,Nonfintech
104,Morgan Stanley,Senior Investor Services Representative,Security,117,Fintech
105,Morgan Stanley,Credit Complex Sales Strategist,trade,26,Fintech
106,Morgan Stanley,Senior Quantitative Strategist / Developer,trade,23,Fintech
107,Morgan Stanley,Muni Trading Desk Strategist,trade,22,Fintech
108,Morgan Stanley,Swaps Strategist,Non-FinTech,10,Nonfintech
109,Morgan Stanley,Advisory Platforms ÃÂ UAT Lead,trade,34,Fintech
110,Morgan Stanley,Field Risk Intelligence Officer,trade,55,Fintech
111,Morgan Stanley,Credit Capital Analyst in our Risk Management Department,trade,24,Fintech
112,Morgan Stanley,Legal Entity Management Officer,Lending ,40,Fintech
113,Morgan Stanley,Branch Administrator,Non-FinTech,8,Nonfintech
114,Morgan Stanley,Registered Associate*,trade,20,Fintech
115,Morgan Stanley,Registered Associate,trade,20,Fintech
116,Morgan Stanley,Registered Associate - Great Lakes*,trade,20,Fintech
117,Morgan Stanley,Registered Associate,trade,20,Fintech
118,Morgan Stanley,Client Service Associate*,trade,21,Fintech
119,Morgan Stanley,Intern*,Non-FinTech,13,Nonfintech
120,Morgan Stanley,Portfolio Management Associate Director,trade,17,Fintech
121,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
122,Morgan Stanley,Intern*,Non-FinTech,13,Nonfintech
123,Morgan Stanley,Intern*,Non-FinTech,13,Nonfintech
124,Morgan Stanley,Registered Associate *,trade,20,Fintech
125,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
126,Morgan Stanley,Client Service Associate*,trade,21,Fintech
127,Morgan Stanley,Registered Associate,trade,20,Fintech
128,Morgan Stanley,Registered Associate,trade,20,Fintech
129,Morgan Stanley,Registered Associate *,trade,20,Fintech
130,Morgan Stanley,Infrastructure System Support Controller,trade,22,Fintech
131,Morgan Stanley,Fixed Income Trade Support Director (AVP),Big Data,32,Fintech
132,Morgan Stanley,Director- CTB,Blockchain,51,Fintech
133,Morgan Stanley,Manager- Document Extraction (Intake support),trade,31,Fintech
134,Morgan Stanley,IEDÃÂ Regulatory Control Group ÃÂ Vice President/ Senior Associate,Blockchain,57,Fintech
135,Morgan Stanley,Senior Business Intelligence Analyst,trade,36,Fintech
136,Morgan Stanley,Head of Finance and Operations ÃÂ North Haven Real Estate Funds,trade,38,Fintech
137,Morgan Stanley,Intern*,Non-FinTech,13,Nonfintech
138,Morgan Stanley,Aviation Finance Manager - Securitized Products Group,trade,29,Fintech
139,Morgan Stanley,Registered Associate,trade,20,Fintech
140,Morgan Stanley,"Branch Manager, Producing",trade,29,Fintech
141,Morgan Stanley,Fixed Income Compliance Officer - Director/Vice President,Payments ,52,Fintech
142,Morgan Stanley,Market Risk Manager - Vice President,Blockchain,44,Fintech
143,Morgan Stanley,Registered Associate,trade,20,Fintech
144,Morgan Stanley,Registered Associate - Great Lakes,trade,20,Fintech
145,Morgan Stanley,Global Financial Crimes: AML Investigations Professional,Payments ,28,Fintech
146,Morgan Stanley,Vice President ÃÂ Cybersecurity and Technology Risk (Operational Risk),Blockchain,82,Fintech
147,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
148,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
149,Morgan Stanley,Business Development Director,Planning,18,Fintech
150,Morgan Stanley,Intern*,Non-FinTech,13,Nonfintech
151,Morgan Stanley,Management Reporting Business Analyst,Blockchain,23,Fintech
152,Morgan Stanley,Internal Audit Risk Mgmt Capital Planning,Blockchain,35,Fintech
153,Morgan Stanley,IT Auditor,Blockchain,33,Fintech
154,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
155,Morgan Stanley,Internal Audit Risk Management Capital Planning,Blockchain,58,Fintech
156,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
157,Morgan Stanley,IBD / GCM Lawyer Vice President,Lending ,42,Fintech
158,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
159,Morgan Stanley,Intern*,Non-FinTech,13,Nonfintech
160,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
161,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
162,Morgan Stanley,Client Service Associate,trade,21,Fintech
163,Morgan Stanley,"Head of Strategy for Global Trading Operations, Business Management - Vice President",trade,44,Fintech
164,Morgan Stanley,Associate- GFC: Anti-Corruption / Government and Political Activities,Blockchain,18,Fintech
165,Morgan Stanley,Manager- LCD Administration & Operations,Payments ,26,Fintech
166,Morgan Stanley,"Global Financial Crimes, Institutional Securities Group (ISG) Coverage, Analyst/ Associate (Hong Kong)",trade,40,Fintech
167,Morgan Stanley,Intern *,Non-FinTech,13,Nonfintech
168,Morgan Stanley,"Vice President ÃÂ Advanced Analytics Decision Sciences, Retail-Consumer Banking",Payments ,62,Fintech
169,Morgan Stanley,Fixed Income Global Capital Markets Compliance Advisory,Blockchain,44,Fintech
170,Morgan Stanley,Service Associate,Non-FinTech,14,Nonfintech
171,Morgan Stanley,Registered Associate *,trade,20,Fintech
172,Morgan Stanley,Registered Associate - Great Lakes,trade,20,Fintech
